Category,Variable,Measure,Value,Group
Incident of NMSC in 2005,0,1-4,0.07,National
Incident of NMSC in 2006,0.27,1-4,0.06,National
Incident of NMSC in 2007,0,1-4,0,National
Incident of NMSC in 2008,0.23,1-4,0.05,National
Incident of NMSC in 2009,0.16,1-4,0.04,National
Incident of NMSC in 2010,0,1-4,0.07,National
Incident of NMSC in 2011,0,1-4,0.09,National
Incident of NMSC in 2012,0.21,1-4,0.03,National
Incident of NMSC in 2013,0.05,1-4,0.08,National
Incident of NMSC in 2014,0,1-4,0.03,National
Incident of NMSC in 2015,0.03,1-4,0.07,National
Incident of NMSC in 2016,0.21,1-4,0.04,National
Incident of NMSC in 2017,0.06,1-4,0.09,National
Incident of NMSC in 2018,0.09,1-4,0.12,National
Incident of NMSC in 2018,0-,1-4,1-4,National
pop,328711,1-4,1499272,National
case of NMSC in 2005,0,1-4,1.0494904,National
pop,366806,1-4,1664935,National
case of NMSC in 2006,0.9903762,1-4,0.998961,National
pop,406298,1-4,1692059,National
case of NMSC in 2007,0,1-4,0,National
pop,435222,1-4,1873291,National
case of NMSC in 2008,1.0010106,1-4,0.9366455,National
pop,620042,1-4,2733157,National
case of NMSC in 2009,0.9920672,1-4,1.0932628,National
pop,1039937,1-4,4478478,National
case of NMSC in 2010,0,1-4,3.1349346,National
pop,1296974,1-4,5526014,National
case of NMSC in 2011,0,1-4,4.9734126,National
pop,1876699,1-4,7639169,National
case of NMSC in 2012,3.9410679,1-4,2.2917507,National
pop,2111613,1-4,8951470,National
case of NMSC in 2013,1.0558065,1-4,7.161176,National
pop,2814044,1-4,11790643,National
case of NMSC in 2014,0,1-4,3.5371929,National
pop,3019983,1-4,13723612,National
case of NMSC in 2015,0.9059949,1-4,9.6065284,National
pop,3815719,1-4,16507793,National
case of NMSC in 2016,8.0130099,1-4,6.6031172,National
pop,4653648,1-4,19735402,National
case of NMSC in 2017,2.7921888,1-4,17.7618618,National
pop,5351889,1-4,23931238,National
case of NMSC in 2018,4.8167001,1-4,28.7174856,National
Incident of NMSC in 2005,0,5-9,0,National
Incident of NMSC in 2006,0.27,5-9,0.04,National
Incident of NMSC in 2007,0,5-9,0.04,National
Incident of NMSC in 2008,0.23,5-9,0,National
Incident of NMSC in 2009,0.16,5-9,0.03,National
Incident of NMSC in 2010,0,5-9,0.04,National
Incident of NMSC in 2011,0,5-9,0.06,National
Incident of NMSC in 2012,0.21,5-9,0.06,National
Incident of NMSC in 2013,0.05,5-9,0.06,National
Incident of NMSC in 2014,0,5-9,0.07,National
Incident of NMSC in 2015,0.03,5-9,0.05,National
Incident of NMSC in 2016,0.21,5-9,0.08,National
Incident of NMSC in 2017,0.06,5-9,0.09,National
Incident of NMSC in 2018,0.09,5-9,0.11,National
Incident of NMSC in 2018,0-,5-9,5-9,National
pop,328711,5-9,2496876,National
case of NMSC in 2005,0,5-9,0,National
pop,366806,5-9,2554453,National
case of NMSC in 2006,0.9903762,5-9,1.0217812,National
pop,406298,5-9,2533898,National
case of NMSC in 2007,0,5-9,1.0135592,National
pop,435222,5-9,2562894,National
case of NMSC in 2008,1.0010106,5-9,0,National
pop,620042,5-9,3612024,National
case of NMSC in 2009,0.9920672,5-9,1.0836072,National
pop,1039937,5-9,5691873,National
case of NMSC in 2010,0,5-9,2.2767492,National
pop,1296974,5-9,6691064,National
case of NMSC in 2011,0,5-9,4.0146384,National
pop,1876699,5-9,8966889,National
case of NMSC in 2012,3.9410679,5-9,5.3801334,National
pop,2111613,5-9,10939492,National
case of NMSC in 2013,1.0558065,5-9,6.5636952,National
pop,2814044,5-9,14158817,National
case of NMSC in 2014,0,5-9,9.9111719,National
pop,3019983,5-9,16269160,National
case of NMSC in 2015,0.9059949,5-9,8.13458,National
pop,3815719,5-9,20027315,National
case of NMSC in 2016,8.0130099,5-9,16.021852,National
pop,4653648,5-9,24034832,National
case of NMSC in 2017,2.7921888,5-9,21.6313488,National
pop,5351889,5-9,28842375,National
case of NMSC in 2018,4.8167001,5-9,31.7266125,National
Incident of NMSC in 2005,0,10-14,0.03,National
Incident of NMSC in 2006,0.27,10-14,0.09,National
Incident of NMSC in 2007,0,10-14,0.12,National
Incident of NMSC in 2008,0.23,10-14,0.06,National
Incident of NMSC in 2009,0.16,10-14,0.11,National
Incident of NMSC in 2010,0,10-14,0.12,National
Incident of NMSC in 2011,0,10-14,0.09,National
Incident of NMSC in 2012,0.21,10-14,0.03,National
Incident of NMSC in 2013,0.05,10-14,0.08,National
Incident of NMSC in 2014,0,10-14,0.1,National
Incident of NMSC in 2015,0.03,10-14,0.11,National
Incident of NMSC in 2016,0.21,10-14,0.1,National
Incident of NMSC in 2017,0.06,10-14,0.12,National
Incident of NMSC in 2018,0.09,10-14,0.12,National
Incident of NMSC in 2018,0-,10-14,10-14,National
pop,328711,10-14,3308064,National
