Category,Variable,Measure,Value,Group
Incident of NMSC in 2005,0,1-4,0.14,Female
Incident of NMSC in 2006,0,1-4,0.13,Female
Incident of NMSC in 2007,0,1-4,0,Female
Incident of NMSC in 2008,0.49,1-4,0,Female
Incident of NMSC in 2009,0,1-4,0.08,Female
Incident of NMSC in 2010,0,1-4,0.05,Female
Incident of NMSC in 2011,0,1-4,0.08,Female
Incident of NMSC in 2012,0.23,1-4,0,Female
Incident of NMSC in 2013,0,1-4,0.05,Female
Incident of NMSC in 2014,0,1-4,0.02,Female
Incident of NMSC in 2015,0,1-4,0.03,Female
Incident of NMSC in 2016,0.22,1-4,0.03,Female
Incident of NMSC in 2017,0.14,1-4,0.08,Female
Incident of NMSC in 2018,0.12,1-4,0.17,Female
Incident of NMSC in 2018,0-,1-4,1-4,Female
pop,155305,1-4,704192,Female
case of NMSC in 2005,0,1-4,0.9858688,Female
pop,174563,1-4,785464,Female
case of NMSC in 2006,0,1-4,1.0211032,Female
pop,191701,1-4,797041,Female
case of NMSC in 2007,0,1-4,0,Female
pop,204918,1-4,885202,Female
case of NMSC in 2008,1.0040982,1-4,0,Female
pop,292891,1-4,1289140,Female
case of NMSC in 2009,0,1-4,1.031312,Female
pop,486435,1-4,2096825,Female
case of NMSC in 2010,0,1-4,1.0484125,Female
pop,612356,1-4,2589186,Female
case of NMSC in 2011,0,1-4,2.0713488,Female
pop,882447,1-4,3564903,Female
case of NMSC in 2012,2.0296281,1-4,0,Female
pop,991430,1-4,4158047,Female
case of NMSC in 2013,0,1-4,2.0790235,Female
pop,1321862,1-4,5478844,Female
case of NMSC in 2014,0,1-4,1.0957688,Female
pop,1416150,1-4,6386000,Female
case of NMSC in 2015,0,1-4,1.9158,Female
pop,1788641,1-4,7681746,Female
case of NMSC in 2016,3.9350102,1-4,2.3045238,Female
pop,2188292,1-4,9190787,Female
case of NMSC in 2017,3.0636088,1-4,7.3526296,Female
pop,2519946,1-4,11201774,Female
case of NMSC in 2018,3.0239352,1-4,19.0430158,Female
Incident of NMSC in 2005,0,5-9,0,Female
Incident of NMSC in 2006,0,5-9,0.08,Female
Incident of NMSC in 2007,0,5-9,0.08,Female
Incident of NMSC in 2008,0.49,5-9,0,Female
Incident of NMSC in 2009,0,5-9,0,Female
Incident of NMSC in 2010,0,5-9,0.06,Female
Incident of NMSC in 2011,0,5-9,0.06,Female
Incident of NMSC in 2012,0.23,5-9,0.02,Female
Incident of NMSC in 2013,0,5-9,0.06,Female
Incident of NMSC in 2014,0,5-9,0.11,Female
Incident of NMSC in 2015,0,5-9,0.03,Female
Incident of NMSC in 2016,0.22,5-9,0.06,Female
Incident of NMSC in 2017,0.14,5-9,0.09,Female
Incident of NMSC in 2018,0.12,5-9,0.07,Female
Incident of NMSC in 2018,0-,5-9,5-9,Female
pop,155305,5-9,1181344,Female
case of NMSC in 2005,0,5-9,0,Female
pop,174563,5-9,1211038,Female
case of NMSC in 2006,0,5-9,0.9688304,Female
pop,191701,5-9,1200021,Female
case of NMSC in 2007,0,5-9,0.9600168,Female
pop,204918,5-9,1215489,Female
case of NMSC in 2008,1.0040982,5-9,0,Female
pop,292891,5-9,1711885,Female
case of NMSC in 2009,0,5-9,0,Female
pop,486435,5-9,2667249,Female
case of NMSC in 2010,0,5-9,1.6003494,Female
pop,612356,5-9,3152099,Female
case of NMSC in 2011,0,5-9,1.8912594,Female
pop,882447,5-9,4204192,Female
case of NMSC in 2012,2.0296281,5-9,0.8408384,Female
pop,991430,5-9,5132697,Female
case of NMSC in 2013,0,5-9,3.0796182,Female
pop,1321862,5-9,6650453,Female
case of NMSC in 2014,0,5-9,7.3154983,Female
pop,1416150,5-9,7640855,Female
case of NMSC in 2015,0,5-9,2.2922565,Female
pop,1788641,5-9,9410149,Female
case of NMSC in 2016,3.9350102,5-9,5.6460894,Female
pop,2188292,5-9,11290100,Female
case of NMSC in 2017,3.0636088,5-9,10.16109,Female
pop,2519946,5-9,13562972,Female
case of NMSC in 2018,3.0239352,5-9,9.4940804,Female
Incident of NMSC in 2005,0,10-14,0,Female
Incident of NMSC in 2006,0,10-14,0.18,Female
Incident of NMSC in 2007,0,10-14,0.25,Female
Incident of NMSC in 2008,0.49,10-14,0.12,Female
Incident of NMSC in 2009,0,10-14,0.14,Female
Incident of NMSC in 2010,0,10-14,0.08,Female
Incident of NMSC in 2011,0,10-14,0.03,Female
Incident of NMSC in 2012,0.23,10-14,0.02,Female
Incident of NMSC in 2013,0,10-14,0.08,Female
Incident of NMSC in 2014,0,10-14,0.11,Female
Incident of NMSC in 2015,0,10-14,0.14,Female
Incident of NMSC in 2016,0.22,10-14,0.12,Female
Incident of NMSC in 2017,0.14,10-14,0.143,Female
Incident of NMSC in 2018,0.12,10-14,0.09,Female
Incident of NMSC in 2018,0-,10-14,10-14,Female
pop,155305,10-14,1590127,Female
case of NMSC in 2005,0,10-14,0,Female
pop,174563,10-14,1667036,Female
case of NMSC in 2006,0,10-14,3.0006648,Female
pop,191701,10-14,1619203,Female
case of NMSC in 2007,0,10-14,4.0480075,Female
pop,204918,10-14,1645564,Female
case of NMSC in 2008,1.0040982,10-14,1.9746768,Female
pop,292891,10-14,2178671,Female
case of NMSC in 2009,0,10-14,3.0501394,Female
pop,486435,10-14,3129573,Female
case of NMSC in 2010,0,10-14,2.5036584,Female
pop,612356,10-14,3501968,Female
case of NMSC in 2011,0,10-14,1.0505904,Female
pop,882447,10-14,4422732,Female
case of NMSC in 2012,2.0296281,10-14,0.8845464,Female
pop,991430,10-14,4960433,Female
case of NMSC in 2013,0,10-14,3.9683464,Female
pop,1321862,10-14,6293607,Female
case of NMSC in 2014,0,10-14,6.9229677,Female
pop,1416150,10-14,6915197,Female
case of NMSC in 2015,0,10-14,9.6812758,Female
pop,1788641,10-14,8453698,Female
case of NMSC in 2016,3.9350102,10-14,10.1444376,Female
pop,2188292,10-14,10042339,Female
case of NMSC in 2017,3.0636088,10-14,14.36054477,Female
pop,2519946,10-14,12390011,Female
case of NMSC in 2018,3.0239352,10-14,11.1510099,Female
Incident of NMSC in 2005,0,15-19,0.15,Female
Incident of NMSC in 2006,0,15-19,0.19,Female
Incident of NMSC in 2007,0,15-19,0.05,Female
Incident of NMSC in 2008,0.49,15-19,0.19,Female
Incident of NMSC in 2009,0,15-19,0.08,Female
Incident of NMSC in 2010,0,15-19,0.06,Female
Incident of NMSC in 2011,0,15-19,0.16,Female
Incident of NMSC in 2012,0.23,15-19,0.14,Female
Incident of NMSC in 2013,0,15-19,0.06,Female
Incident of NMSC in 2014,0,15-19,0.18,Female
Incident of NMSC in 2015,0,15-19,0.16,Female
Incident of NMSC in 2016,0.22,15-19,0.13,Female
Incident of NMSC in 2017,0.14,15-19,0.16,Female
Incident of NMSC in 2018,0.12,15-19,0.22,Female
Incident of NMSC in 2018,0-,15-19,15-19,Female
pop,155305,15-19,2066136,Female
case of NMSC in 2005,0,15-19,3.099204,Female
pop,174563,15-19,2129653,Female
case of NMSC in 2006,0,15-19,4.0463407,Female
pop,191701,15-19,2109163,Female
case of NMSC in 2007,0,15-19,1.0545815,Female
pop,204918,15-19,2096264,Female
case of NMSC in 2008,1.0040982,15-19,3.9829016,Female
pop,292891,15-19,2631293,Female
case of NMSC in 2009,0,15-19,2.1050344,Female
pop,486435,15-19,3689182,Female
case of NMSC in 2010,0,15-19,2.2135092,Female
pop,612356,15-19,4242645,Female
case of NMSC in 2011,0,15-19,6.788232,Female
pop,882447,15-19,5705686,Female
case of NMSC in 2012,2.0296281,15-19,7.9879604,Female
pop,991430,15-19,6292296,Female
case of NMSC in 2013,0,15-19,3.7753776,Female
pop,1321862,15-19,7774163,Female
case of NMSC in 2014,0,15-19,13.9934934,Female
pop,1416150,15-19,8205951,Female
case of NMSC in 2015,0,15-19,13.1295216,Female
pop,1788641,15-19,9821121,Female
case of NMSC in 2016,3.9350102,15-19,12.7674573,Female
pop,2188292,15-19,11049673,Female
case of NMSC in 2017,3.0636088,15-19,17.6794768,Female
pop,2519946,15-19,13142326,Female
case of NMSC in 2018,3.0239352,15-19,28.9131172,Female
Incident of NMSC in 2005,0,20-24,0.09,Female
Incident of NMSC in 2006,0,20-24,0.17,Female
Incident of NMSC in 2007,0,20-24,0.08,Female
Incident of NMSC in 2008,0.49,20-24,0.11,Female
Incident of NMSC in 2009,0,20-24,0.06,Female
Incident of NMSC in 2010,0,20-24,0.1,Female
Incident of NMSC in 2011,0,20-24,0.27,Female
Incident of NMSC in 2012,0.23,20-24,0.27,Female
Incident of NMSC in 2013,0,20-24,0.1,Female
Incident of NMSC in 2014,0,20-24,0.19,Female
Incident of NMSC in 2015,0,20-24,0.17,Female
Incident of NMSC in 2016,0.22,20-24,0.14,Female
Incident of NMSC in 2017,0.14,20-24,0.23,Female
Incident of NMSC in 2018,0.12,20-24,0.18,Female
Incident of NMSC in 2018,0-,20-24,20-24,Female
pop,155305,20-24,2268440,Female
case of NMSC in 2005,0,20-24,2.041596,Female
pop,174563,20-24,2420224,Female
case of NMSC in 2006,0,20-24,4.1143808,Female
pop,191701,20-24,2519749,Female
case of NMSC in 2007,0,20-24,2.0157992,Female
pop,204918,20-24,2723334,Female
case of NMSC in 2008,1.0040982,20-24,2.9956674,Female
pop,292891,20-24,3564942,Female
case of NMSC in 2009,0,20-24,2.1389652,Female
pop,486435,20-24,5091617,Female
case of NMSC in 2010,0,20-24,5.091617,Female
pop,612356,20-24,5838711,Female
case of NMSC in 2011,0,20-24,15.7645197,Female
pop,882447,20-24,8044047,Female
case of NMSC in 2012,2.0296281,20-24,21.7189269,Female
pop,991430,20-24,8800228,Female
case of NMSC in 2013,0,20-24,8.800228,Female
pop,1321862,20-24,10856412,Female
case of NMSC in 2014,0,20-24,20.6271828,Female
pop,1416150,20-24,11296870,Female
case of NMSC in 2015,0,20-24,19.204679,Female
pop,1788641,20-24,12975979,Female
case of NMSC in 2016,3.9350102,20-24,18.1663706,Female
pop,2188292,20-24,14199254,Female
case of NMSC in 2017,3.0636088,20-24,32.6582842,Female
pop,2519946,20-24,16812239,Female
case of NMSC in 2018,3.0239352,20-24,30.2620302,Female
Incident of NMSC in 2005,0,25-29,0.24,Female
Incident of NMSC in 2006,0,25-29,0.26,Female
Incident of NMSC in 2007,0,25-29,0.21,Female
Incident of NMSC in 2008,0.49,25-29,0.19,Female
Incident of NMSC in 2009,0,25-29,0.48,Female
Incident of NMSC in 2010,0,25-29,0.21,Female
Incident of NMSC in 2011,0,25-29,0.19,Female
Incident of NMSC in 2012,0.23,25-29,0.33,Female
Incident of NMSC in 2013,0,25-29,0.21,Female
Incident of NMSC in 2014,0,25-29,0.2,Female
Incident of NMSC in 2015,0,25-29,0.36,Female
Incident of NMSC in 2016,0.22,25-29,0.35,Female
Incident of NMSC in 2017,0.14,25-29,0.27,Female
Incident of NMSC in 2018,0.12,25-29,0.27,Female
Incident of NMSC in 2018,0-,25-29,25-29,Female
pop,155305,25-29,2050701,Female
case of NMSC in 2005,0,25-29,4.9216824,Female
pop,174563,25-29,2312567,Female
case of NMSC in 2006,0,25-29,6.0126742,Female
pop,191701,25-29,2361136,Female
case of NMSC in 2007,0,25-29,4.9583856,Female
pop,204918,25-29,2684460,Female
case of NMSC in 2008,1.0040982,25-29,5.100474,Female
pop,292891,25-29,3553884,Female
case of NMSC in 2009,0,25-29,17.0586432,Female
pop,486435,25-29,5055499,Female
case of NMSC in 2010,0,25-29,10.6165479,Female
pop,612356,25-29,5908775,Female
case of NMSC in 2011,0,25-29,11.2266725,Female
pop,882447,25-29,7960860,Female
case of NMSC in 2012,2.0296281,25-29,26.270838,Female
pop,991430,25-29,9007691,Female
case of NMSC in 2013,0,25-29,18.9161511,Female
pop,1321862,25-29,11691822,Female
case of NMSC in 2014,0,25-29,23.383644,Female
pop,1416150,25-29,13182611,Female
case of NMSC in 2015,0,25-29,47.4573996,Female
pop,1788641,25-29,15057787,Female
case of NMSC in 2016,3.9350102,25-29,52.7022545,Female
pop,2188292,25-29,16494026,Female
case of NMSC in 2017,3.0636088,25-29,44.5338702,Female
pop,2519946,25-29,18990123,Female
case of NMSC in 2018,3.0239352,25-29,51.2733321,Female
Incident of NMSC in 2005,0,30-34,0.26,Female
Incident of NMSC in 2006,0,30-34,0.08,Female
Incident of NMSC in 2007,0,30-34,0.3,Female
Incident of NMSC in 2008,0.49,30-34,0.4,Female
Incident of NMSC in 2009,0,30-34,0.27,Female
Incident of NMSC in 2010,0,30-34,0.39,Female
Incident of NMSC in 2011,0,30-34,0.25,Female
Incident of NMSC in 2012,0.23,30-34,0.33,Female
Incident of NMSC in 2013,0,30-34,0.39,Female
Incident of NMSC in 2014,0,30-34,0.3,Female
Incident of NMSC in 2015,0,30-34,0.4,Female
Incident of NMSC in 2016,0.22,30-34,0.43,Female
Incident of NMSC in 2017,0.14,30-34,0.43,Female
Incident of NMSC in 2018,0.12,30-34,0.44,Female
Incident of NMSC in 2018,0-,30-34,30-34,Female
pop,155305,30-34,2269902,Female
case of NMSC in 2005,0,30-34,5.9017452,Female
pop,174563,30-34,2449914,Female
case of NMSC in 2006,0,30-34,1.9599312,Female
pop,191701,30-34,2337215,Female
case of NMSC in 2007,0,30-34,7.011645,Female
pop,204918,30-34,2498796,Female
case of NMSC in 2008,1.0040982,30-34,9.995184,Female
pop,292891,30-34,3294092,Female
case of NMSC in 2009,0,30-34,8.8940484,Female
pop,486435,30-34,4809513,Female
case of NMSC in 2010,0,30-34,18.7571007,Female
pop,612356,30-34,5633034,Female
case of NMSC in 2011,0,30-34,14.082585,Female
pop,882447,30-34,7627051,Female
case of NMSC in 2012,2.0296281,30-34,25.1692683,Female
pop,991430,30-34,8515951,Female
case of NMSC in 2013,0,30-34,33.2122089,Female
pop,1321862,30-34,10798011,Female
case of NMSC in 2014,0,30-34,32.394033,Female
pop,1416150,30-34,12071550,Female
case of NMSC in 2015,0,30-34,48.2862,Female
pop,1788641,30-34,13846099,Female
case of NMSC in 2016,3.9350102,30-34,59.5382257,Female
pop,2188292,30-34,15952169,Female
case of NMSC in 2017,3.0636088,30-34,68.5943267,Female
pop,2519946,30-34,19198385,Female
case of NMSC in 2018,3.0239352,30-34,84.472894,Female
Incident of NMSC in 2005,0,35-39,0.66,Female
Incident of NMSC in 2006,0,35-39,0.61,Female
Incident of NMSC in 2007,0,35-39,0.57,Female
Incident of NMSC in 2008,0.49,35-39,0.45,Female
Incident of NMSC in 2009,0,35-39,0.41,Female
Incident of NMSC in 2010,0,35-39,0.56,Female
Incident of NMSC in 2011,0,35-39,0.64,Female
Incident of NMSC in 2012,0.23,35-39,0.52,Female
Incident of NMSC in 2013,0,35-39,0.56,Female
Incident of NMSC in 2014,0,35-39,0.56,Female
Incident of NMSC in 2015,0,35-39,0.57,Female
Incident of NMSC in 2016,0.22,35-39,0.51,Female
Incident of NMSC in 2017,0.14,35-39,0.59,Female
Incident of NMSC in 2018,0.12,35-39,0.58,Female
Incident of NMSC in 2018,0-,35-39,35-39,Female
pop,155305,35-39,2258323,Female
case of NMSC in 2005,0,35-39,14.9049318,Female
pop,174563,35-39,2642616,Female
case of NMSC in 2006,0,35-39,16.1199576,Female
pop,191701,35-39,2636017,Female
case of NMSC in 2007,0,35-39,15.0252969,Female
pop,204918,35-39,2870390,Female
case of NMSC in 2008,1.0040982,35-39,12.916755,Female
pop,292891,35-39,3643974,Female
case of NMSC in 2009,0,35-39,14.9402934,Female
pop,486435,35-39,5313020,Female
case of NMSC in 2010,0,35-39,29.752912,Female
pop,612356,35-39,6070466,Female
case of NMSC in 2011,0,35-39,38.8509824,Female
pop,882447,35-39,7913141,Female
case of NMSC in 2012,2.0296281,35-39,41.1483332,Female
pop,991430,35-39,8773968,Female
case of NMSC in 2013,0,35-39,49.1342208,Female
pop,1321862,35-39,10983789,Female
case of NMSC in 2014,0,35-39,61.5092184,Female
pop,1416150,35-39,11876947,Female
case of NMSC in 2015,0,35-39,67.6985979,Female
pop,1788641,35-39,14393216,Female
case of NMSC in 2016,3.9350102,35-39,73.4054016,Female
pop,2188292,35-39,16658626,Female
case of NMSC in 2017,3.0636088,35-39,98.2858934,Female
pop,2519946,35-39,19801472,Female
case of NMSC in 2018,3.0239352,35-39,114.8485376,Female
Incident of NMSC in 2005,0,40-44,0.86,Female
Incident of NMSC in 2006,0,40-44,1.01,Female
Incident of NMSC in 2007,0,40-44,0.84,Female
Incident of NMSC in 2008,0.49,40-44,0.75,Female
Incident of NMSC in 2009,0,40-44,0.84,Female
Incident of NMSC in 2010,0,40-44,0.92,Female
Incident of NMSC in 2011,0,40-44,0.74,Female
Incident of NMSC in 2012,0.23,40-44,0.91,Female
Incident of NMSC in 2013,0,40-44,0.92,Female
Incident of NMSC in 2014,0,40-44,0.88,Female
Incident of NMSC in 2015,0,40-44,0.8,Female
Incident of NMSC in 2016,0.22,40-44,0.76,Female
Incident of NMSC in 2017,0.14,40-44,0.83,Female
Incident of NMSC in 2018,0.12,40-44,0.67,Female
Incident of NMSC in 2018,0-,40-44,40-44,Female
pop,155305,40-44,2444537,Female
case of NMSC in 2005,0,40-44,21.0230182,Female
pop,174563,40-44,2683690,Female
case of NMSC in 2006,0,40-44,27.105269,Female
pop,191701,40-44,2628619,Female
case of NMSC in 2007,0,40-44,22.0803996,Female
pop,204918,40-44,2788576,Female
case of NMSC in 2008,1.0040982,40-44,20.91432,Female
pop,292891,40-44,3561545,Female
case of NMSC in 2009,0,40-44,29.916978,Female
pop,486435,40-44,5371195,Female
case of NMSC in 2010,0,40-44,49.414994,Female
pop,612356,40-44,6349482,Female
case of NMSC in 2011,0,40-44,46.9861668,Female
pop,882447,40-44,8866584,Female
case of NMSC in 2012,2.0296281,40-44,80.6859144,Female
pop,991430,40-44,10066117,Female
case of NMSC in 2013,0,40-44,92.6082764,Female
pop,1321862,40-44,12450713,Female
case of NMSC in 2014,0,40-44,109.5662744,Female
pop,1416150,40-44,13406894,Female
case of NMSC in 2015,0,40-44,107.255152,Female
pop,1788641,40-44,15571517,Female
case of NMSC in 2016,3.9350102,40-44,118.3435292,Female
pop,2188292,40-44,17374265,Female
case of NMSC in 2017,3.0636088,40-44,144.2063995,Female
pop,2519946,40-44,20383467,Female
case of NMSC in 2018,3.0239352,40-44,136.5692289,Female
Incident of NMSC in 2005,0,45-49,1.34,Female
Incident of NMSC in 2006,0,45-49,0.84,Female
Incident of NMSC in 2007,0,45-49,1.12,Female
Incident of NMSC in 2008,0.49,45-49,1.22,Female
Incident of NMSC in 2009,0,45-49,0.91,Female
Incident of NMSC in 2010,0,45-49,0.97,Female
Incident of NMSC in 2011,0,45-49,1.09,Female
Incident of NMSC in 2012,0.23,45-49,1.38,Female
Incident of NMSC in 2013,0,45-49,0.97,Female
Incident of NMSC in 2014,0,45-49,1.12,Female
Incident of NMSC in 2015,0,45-49,1.25,Female
Incident of NMSC in 2016,0.22,45-49,1.12,Female
Incident of NMSC in 2017,0.14,45-49,1.34,Female
Incident of NMSC in 2018,0.12,45-49,1.27,Female
Incident of NMSC in 2018,0-,45-49,45-49,Female
pop,155305,45-49,2381166,Female
case of NMSC in 2005,0,45-49,31.9076244,Female
pop,174563,45-49,2503272,Female
case of NMSC in 2006,0,45-49,21.0274848,Female
pop,191701,45-49,2414244,Female
case of NMSC in 2007,0,45-49,27.0395328,Female
pop,204918,45-49,2793057,Female
case of NMSC in 2008,1.0040982,45-49,34.0752954,Female
pop,292891,45-49,3609939,Female
case of NMSC in 2009,0,45-49,32.8504449,Female
pop,486435,45-49,5255654,Female
case of NMSC in 2010,0,45-49,50.9798438,Female
pop,612356,45-49,6228983,Female
case of NMSC in 2011,0,45-49,67.8959147,Female
pop,882447,45-49,8449493,Female
case of NMSC in 2012,2.0296281,45-49,116.6030034,Female
pop,991430,45-49,9706885,Female
case of NMSC in 2013,0,45-49,94.1567845,Female
pop,1321862,45-49,12307504,Female
case of NMSC in 2014,0,45-49,137.8440448,Female
pop,1416150,45-49,13962710,Female
case of NMSC in 2015,0,45-49,174.533875,Female
pop,1788641,45-49,16937078,Female
case of NMSC in 2016,3.9350102,45-49,189.6952736,Female
pop,2188292,45-49,19536061,Female
case of NMSC in 2017,3.0636088,45-49,261.7832174,Female
pop,2519946,45-49,23040048,Female
case of NMSC in 2018,3.0239352,45-49,292.6086096,Female
Incident of NMSC in 2005,0,50-54,1.33,Female
Incident of NMSC in 2006,0,50-54,1.49,Female
Incident of NMSC in 2007,0,50-54,1.85,Female
Incident of NMSC in 2008,0.49,50-54,1.53,Female
Incident of NMSC in 2009,0,50-54,1.32,Female
Incident of NMSC in 2010,0,50-54,1.54,Female
Incident of NMSC in 2011,0,50-54,1.46,Female
Incident of NMSC in 2012,0.23,50-54,1.81,Female
Incident of NMSC in 2013,0,50-54,1.54,Female
Incident of NMSC in 2014,0,50-54,1.81,Female
Incident of NMSC in 2015,0,50-54,1.82,Female
Incident of NMSC in 2016,0.22,50-54,2.18,Female
Incident of NMSC in 2017,0.14,50-54,2.22,Female
Incident of NMSC in 2018,0.12,50-54,2.15,Female
Incident of NMSC in 2018,0-,50-54,50-54,Female
pop,155305,50-54,2032322,Female
case of NMSC in 2005,0,50-54,27.0298826,Female
pop,174563,50-54,2285926,Female
