Category,Variable,Measure,Value,Group
Incident of NMSC in 2005,0,1-4,0,Male
Incident of NMSC in 2006,0.52,1-4,0,Male
Incident of NMSC in 2007,0,1-4,0,Male
Incident of NMSC in 2008,0,1-4,0.1,Male
Incident of NMSC in 2009,0.31,1-4,0,Male
Incident of NMSC in 2010,0,1-4,0.08,Male
Incident of NMSC in 2011,0,1-4,0.1,Male
Incident of NMSC in 2012,0.2,1-4,0.05,Male
Incident of NMSC in 2013,0.09,1-4,0.1,Male
Incident of NMSC in 2014,0,1-4,0.03,Male
Incident of NMSC in 2015,0.06,1-4,0.1,Male
Incident of NMSC in 2016,0.2,1-4,0.05,Male
Incident of NMSC in 2017,0,1-4,0.1,Male
Incident of NMSC in 2018,0.07,1-4,0.07,Male
Incident of NMSC in 2018,0-,1-4,1-4,Male
pop,173406,1-4,795080,Male
case of NMSC in 2005,0,1-4,0,Male
pop,192243,1-4,879471,Male
case of NMSC in 2006,0.9996636,1-4,0,Male
pop,214585,1-4,894983,Male
case of NMSC in 2007,0,1-4,0,Male
pop,230304,1-4,988089,Male
case of NMSC in 2008,0,1-4,0.988089,Male
pop,327151,1-4,1444017,Male
case of NMSC in 2009,1.0141681,1-4,0,Male
pop,553502,1-4,2381653,Male
case of NMSC in 2010,0,1-4,1.9053224,Male
pop,684618,1-4,2936828,Male
case of NMSC in 2011,0,1-4,2.936828,Male
pop,994252,1-4,4074266,Male
case of NMSC in 2012,1.988504,1-4,2.037133,Male
pop,1120183,1-4,4793423,Male
case of NMSC in 2013,1.0081647,1-4,4.793423,Male
pop,1492182,1-4,6311799,Male
case of NMSC in 2014,0,1-4,1.8935397,Male
pop,1603833,1-4,7337612,Male
case of NMSC in 2015,0.9622998,1-4,7.337612,Male
pop,2027078,1-4,8826047,Male
case of NMSC in 2016,4.054156,1-4,4.4130235,Male
pop,2465356,1-4,10544615,Male
case of NMSC in 2017,0,1-4,10.544615,Male
pop,2831943,1-4,12729464,Male
case of NMSC in 2018,1.9823601,1-4,8.9106248,Male
Incident of NMSC in 2005,0,5-9,0,Male
Incident of NMSC in 2006,0.52,5-9,0,Male
Incident of NMSC in 2007,0,5-9,0,Male
Incident of NMSC in 2008,0,5-9,0,Male
Incident of NMSC in 2009,0.31,5-9,0.05,Male
Incident of NMSC in 2010,0,5-9,0.07,Male
Incident of NMSC in 2011,0,5-9,0.06,Male
Incident of NMSC in 2012,0.2,5-9,0.08,Male
Incident of NMSC in 2013,0.09,5-9,0.07,Male
Incident of NMSC in 2014,0,5-9,0.04,Male
Incident of NMSC in 2015,0.06,5-9,0.07,Male
Incident of NMSC in 2016,0.2,5-9,0.09,Male
Incident of NMSC in 2017,0,5-9,0.09,Male
Incident of NMSC in 2018,0.07,5-9,0.15,Male
Incident of NMSC in 2018,0-,5-9,5-9,Male
pop,173406,5-9,1315532,Male
case of NMSC in 2005,0,5-9,0,Male
pop,192243,5-9,1343415,Male
case of NMSC in 2006,0.9996636,5-9,0,Male
pop,214585,5-9,1333850,Male
case of NMSC in 2007,0,5-9,0,Male
pop,230304,5-9,1347405,Male
case of NMSC in 2008,0,5-9,0,Male
pop,327151,5-9,1900139,Male
case of NMSC in 2009,1.0141681,5-9,0.9500695,Male
pop,553502,5-9,3024624,Male
case of NMSC in 2010,0,5-9,2.1172368,Male
pop,684618,5-9,3538965,Male
case of NMSC in 2011,0,5-9,2.123379,Male
pop,994252,5-9,4762697,Male
case of NMSC in 2012,1.988504,5-9,3.8101576,Male
pop,1120183,5-9,5806795,Male
case of NMSC in 2013,1.0081647,5-9,4.0647565,Male
pop,1492182,5-9,7508364,Male
case of NMSC in 2014,0,5-9,3.0033456,Male
pop,1603833,5-9,8628305,Male
