Category,Variable,Measure,Value,Group
Incident of NMSC in 2005,0,1-4,0,Rural
Incident of NMSC in 2006,0.83,1-4,0,Rural
Incident of NMSC in 2007,0,1-4,0,Rural
Incident of NMSC in 2008,0,1-4,0,Rural
Incident of NMSC in 2009,0,1-4,0,Rural
Incident of NMSC in 2010,0,1-4,0.05,Rural
Incident of NMSC in 2011,0,1-4,0.12,Rural
Incident of NMSC in 2012,0.19,1-4,0.02,Rural
Incident of NMSC in 2013,0,1-4,0.06,Rural
Incident of NMSC in 2014,0,1-4,0.02,Rural
Incident of NMSC in 2015,0.06,1-4,0.08,Rural
Incident of NMSC in 2016,0.2,1-4,0.03,Rural
Incident of NMSC in 2017,0.08,1-4,0.06,Rural
Incident of NMSC in 2018,0.1,1-4,0.13,Rural
Incident of NMSC in 2018,0-,1-4,1-4,Rural
pop,132064,1-4,556491,Rural
case of NMSC in 2005,0,1-4,0,Rural
pop,120594,1-4,519974,Rural
case of NMSC in 2006,1.0009302,1-4,0,Rural
pop,149716,1-4,610158,Rural
case of NMSC in 2007,0,1-4,0,Rural
pop,114798,1-4,483284,Rural
case of NMSC in 2008,0,1-4,0,Rural
pop,235911,1-4,1041479,Rural
case of NMSC in 2009,0,1-4,0,Rural
pop,444535,1-4,1845945,Rural
case of NMSC in 2010,0,1-4,0.9229725,Rural
pop,608015,1-4,2530811,Rural
case of NMSC in 2011,0,1-4,3.0369732,Rural
pop,1034932,1-4,4246465,Rural
case of NMSC in 2012,1.9663708,1-4,0.849293,Rural
pop,1188267,1-4,5045688,Rural
case of NMSC in 2013,0,1-4,3.0274128,Rural
pop,1538796,1-4,6469987,Rural
case of NMSC in 2014,0,1-4,1.2939974,Rural
pop,1667166,1-4,7691202,Rural
case of NMSC in 2015,1.0002996,1-4,6.1529616,Rural
pop,1964229,1-4,8740803,Rural
case of NMSC in 2016,3.928458,1-4,2.6222409,Rural
pop,2400144,1-4,10380632,Rural
case of NMSC in 2017,1.9201152,1-4,6.2283792,Rural
pop,2943208,1-4,13384388,Rural
case of NMSC in 2018,2.943208,1-4,17.3997044,Rural
Incident of NMSC in 2005,0,5-9,0,Rural
Incident of NMSC in 2006,0.83,5-9,0,Rural
Incident of NMSC in 2007,0,5-9,0,Rural
Incident of NMSC in 2008,0,5-9,0,Rural
Incident of NMSC in 2009,0,5-9,0,Rural
Incident of NMSC in 2010,0,5-9,0.04,Rural
Incident of NMSC in 2011,0,5-9,0.03,Rural
Incident of NMSC in 2012,0.19,5-9,0.02,Rural
Incident of NMSC in 2013,0,5-9,0.06,Rural
Incident of NMSC in 2014,0,5-9,0.09,Rural
Incident of NMSC in 2015,0.06,5-9,0.04,Rural
Incident of NMSC in 2016,0.2,5-9,0.08,Rural
Incident of NMSC in 2017,0.08,5-9,0.11,Rural
Incident of NMSC in 2018,0.1,5-9,0.16,Rural
Incident of NMSC in 2018,0-,5-9,5-9,Rural
pop,132064,5-9,901135,Rural
case of NMSC in 2005,0,5-9,0,Rural
pop,120594,5-9,784464,Rural
case of NMSC in 2006,1.0009302,5-9,0,Rural
pop,149716,5-9,931680,Rural
case of NMSC in 2007,0,5-9,0,Rural
pop,114798,5-9,723761,Rural
case of NMSC in 2008,0,5-9,0,Rural
pop,235911,5-9,1502814,Rural
case of NMSC in 2009,0,5-9,0,Rural
pop,444535,5-9,2436328,Rural
case of NMSC in 2010,0,5-9,0.9745312,Rural
pop,608015,5-9,3116900,Rural
case of NMSC in 2011,0,5-9,0.93507,Rural
pop,1034932,5-9,5109449,Rural
case of NMSC in 2012,1.9663708,5-9,1.0218898,Rural
pop,1188267,5-9,6369010,Rural
case of NMSC in 2013,0,5-9,3.821406,Rural
pop,1538796,5-9,8044993,Rural
case of NMSC in 2014,0,5-9,7.2404937,Rural
pop,1667166,5-9,9515907,Rural
case of NMSC in 2015,1.0002996,5-9,3.8063628,Rural
pop,1964229,5-9,10980171,Rural
case of NMSC in 2016,3.928458,5-9,8.7841368,Rural
pop,2400144,5-9,13110047,Rural
case of NMSC in 2017,1.9201152,5-9,14.4210517,Rural
pop,2943208,5-9,16771727,Rural
case of NMSC in 2018,2.943208,5-9,26.8347632,Rural
Incident of NMSC in 2005,0,10-14,0,Rural
Incident of NMSC in 2006,0.83,10-14,0,Rural
Incident of NMSC in 2007,0,10-14,0.08,Rural
Incident of NMSC in 2008,0,10-14,0,Rural
Incident of NMSC in 2009,0,10-14,0.1,Rural
Incident of NMSC in 2010,0,10-14,0.22,Rural
Incident of NMSC in 2011,0,10-14,0,Rural
Incident of NMSC in 2012,0.19,10-14,0.06,Rural
Incident of NMSC in 2013,0,10-14,0.06,Rural
Incident of NMSC in 2014,0,10-14,0.04,Rural
Incident of NMSC in 2015,0.06,10-14,0.08,Rural
Incident of NMSC in 2016,0.2,10-14,0.1,Rural
Incident of NMSC in 2017,0.08,10-14,0.11,Rural
Incident of NMSC in 2018,0.1,10-14,0.15,Rural
Incident of NMSC in 2018,0-,10-14,10-14,Rural
pop,132064,10-14,1189289,Rural
case of NMSC in 2005,0,10-14,0,Rural
pop,120594,10-14,1085639,Rural
case of NMSC in 2006,1.0009302,10-14,0,Rural
pop,149716,10-14,1264384,Rural
case of NMSC in 2007,0,10-14,1.0115072,Rural
pop,114798,10-14,1053106,Rural
case of NMSC in 2008,0,10-14,0,Rural
pop,235911,10-14,1916218,Rural
case of NMSC in 2009,0,10-14,1.916218,Rural
pop,444535,10-14,2772008,Rural
case of NMSC in 2010,0,10-14,6.0984176,Rural
pop,608015,10-14,3364797,Rural
case of NMSC in 2011,0,10-14,0,Rural
pop,1034932,10-14,5403525,Rural
case of NMSC in 2012,1.9663708,10-14,3.242115,Rural
pop,1188267,10-14,6345890,Rural
case of NMSC in 2013,0,10-14,3.807534,Rural
pop,1538796,10-14,7742358,Rural
case of NMSC in 2014,0,10-14,3.0969432,Rural
pop,1667166,10-14,8725082,Rural
case of NMSC in 2015,1.0002996,10-14,6.9800656,Rural
pop,1964229,10-14,9977390,Rural
case of NMSC in 2016,3.928458,10-14,9.97739,Rural
pop,2400144,10-14,12121163,Rural
case of NMSC in 2017,1.9201152,10-14,13.3332793,Rural
pop,2943208,10-14,15694423,Rural
case of NMSC in 2018,2.943208,10-14,23.5416345,Rural
Incident of NMSC in 2005,0,15-19,0.09,Rural
Incident of NMSC in 2006,0.83,15-19,0.1,Rural
Incident of NMSC in 2007,0,15-19,0.08,Rural
Incident of NMSC in 2008,0,15-19,0,Rural
Incident of NMSC in 2009,0,15-19,0.05,Rural
Incident of NMSC in 2010,0,15-19,0.07,Rural
Incident of NMSC in 2011,0,15-19,0.12,Rural
Incident of NMSC in 2012,0.19,15-19,0.11,Rural
Incident of NMSC in 2013,0,15-19,0.11,Rural
Incident of NMSC in 2014,0,15-19,0.17,Rural
Incident of NMSC in 2015,0.06,15-19,0.15,Rural
Incident of NMSC in 2016,0.2,15-19,0.15,Rural
Incident of NMSC in 2017,0.08,15-19,0.18,Rural
Incident of NMSC in 2018,0.1,15-19,0.21,Rural
Incident of NMSC in 2018,0-,15-19,15-19,Rural
pop,132064,15-19,1154056,Rural
case of NMSC in 2005,0,15-19,1.0386504,Rural
pop,120594,15-19,1042560,Rural
case of NMSC in 2006,1.0009302,15-19,1.04256,Rural
pop,149716,15-19,1213378,Rural
case of NMSC in 2007,0,15-19,0.9707024,Rural
pop,114798,15-19,1013705,Rural
case of NMSC in 2008,0,15-19,0,Rural
pop,235911,15-19,1900672,Rural
case of NMSC in 2009,0,15-19,0.950336,Rural
pop,444535,15-19,3066274,Rural
case of NMSC in 2010,0,15-19,2.1463918,Rural
pop,608015,15-19,4000279,Rural
case of NMSC in 2011,0,15-19,4.8003348,Rural
