Category,Variable,Measure,Value,Group
Incident of NMSC in 2005,0,1-4,0.11,Urban
Incident of NMSC in 2006,0,1-4,0.09,Urban
Incident of NMSC in 2007,0,1-4,0,Urban
Incident of NMSC in 2008,0.31,1-4,0.07,Urban
Incident of NMSC in 2009,0.26,1-4,0.06,Urban
Incident of NMSC in 2010,0,1-4,0.08,Urban
Incident of NMSC in 2011,0,1-4,0.07,Urban
Incident of NMSC in 2012,0.24,1-4,0.03,Urban
Incident of NMSC in 2013,0.11,1-4,0.1,Urban
Incident of NMSC in 2014,0,1-4,0.04,Urban
Incident of NMSC in 2015,0,1-4,0.05,Urban
Incident of NMSC in 2016,0.22,1-4,0.04,Urban
Incident of NMSC in 2017,0.04,1-4,0.13,Urban
Incident of NMSC in 2018,0.08,1-4,0.09,Urban
Incident of NMSC in 2018,0-,1-4,1-4,Urban
pop,196647,1-4,942781,Urban
case of NMSC in 2005,0,1-4,1.0370591,Urban
pop,246212,1-4,1144961,Urban
case of NMSC in 2006,0,1-4,1.0304649,Urban
pop,256582,1-4,1081901,Urban
case of NMSC in 2007,0,1-4,0,Urban
pop,320424,1-4,1390007,Urban
case of NMSC in 2008,0.9933144,1-4,0.9730049,Urban
pop,384131,1-4,1691678,Urban
case of NMSC in 2009,0.9987406,1-4,1.0150068,Urban
pop,595402,1-4,2632533,Urban
case of NMSC in 2010,0,1-4,2.1060264,Urban
pop,688959,1-4,2995203,Urban
case of NMSC in 2011,0,1-4,2.0966421,Urban
pop,841767,1-4,3392704,Urban
case of NMSC in 2012,2.0202408,1-4,1.0178112,Urban
pop,923346,1-4,3905782,Urban
case of NMSC in 2013,1.0156806,1-4,3.905782,Urban
pop,1275248,1-4,5320656,Urban
case of NMSC in 2014,0,1-4,2.1282624,Urban
pop,1352817,1-4,6032410,Urban
case of NMSC in 2015,0,1-4,3.016205,Urban
pop,1851490,1-4,7766990,Urban
case of NMSC in 2016,4.073278,1-4,3.106796,Urban
pop,2253504,1-4,9354770,Urban
case of NMSC in 2017,0.9014016,1-4,12.161201,Urban
pop,2408681,1-4,10546850,Urban
case of NMSC in 2018,1.9269448,1-4,9.492165,Urban
Incident of NMSC in 2005,0,5-9,0,Urban
Incident of NMSC in 2006,0,5-9,0.06,Urban
Incident of NMSC in 2007,0,5-9,0.06,Urban
Incident of NMSC in 2008,0.31,5-9,0,Urban
Incident of NMSC in 2009,0.26,5-9,0.05,Urban
Incident of NMSC in 2010,0,5-9,0.03,Urban
Incident of NMSC in 2011,0,5-9,0.08,Urban
Incident of NMSC in 2012,0.24,5-9,0.1,Urban
Incident of NMSC in 2013,0.11,5-9,0.07,Urban
Incident of NMSC in 2014,0,5-9,0.05,Urban
Incident of NMSC in 2015,0,5-9,0.06,Urban
Incident of NMSC in 2016,0.22,5-9,0.08,Urban
Incident of NMSC in 2017,0.04,5-9,0.06,Urban
Incident of NMSC in 2018,0.08,5-9,0.05,Urban
Incident of NMSC in 2018,0-,5-9,5-9,Urban
pop,196647,5-9,1595741,Urban
case of NMSC in 2005,0,5-9,0,Urban
pop,246212,5-9,1769989,Urban
case of NMSC in 2006,0,5-9,1.0619934,Urban
pop,256582,5-9,1602218,Urban
case of NMSC in 2007,0,5-9,0.9613308,Urban
pop,320424,5-9,1839133,Urban
case of NMSC in 2008,0.9933144,5-9,0,Urban
pop,384131,5-9,2109210,Urban
case of NMSC in 2009,0.9987406,5-9,1.054605,Urban
pop,595402,5-9,3255545,Urban
case of NMSC in 2010,0,5-9,0.9766635,Urban
pop,688959,5-9,3574164,Urban
case of NMSC in 2011,0,5-9,2.8593312,Urban
pop,841767,5-9,3857440,Urban
case of NMSC in 2012,2.0202408,5-9,3.85744,Urban
pop,923346,5-9,4570482,Urban
case of NMSC in 2013,1.0156806,5-9,3.1993374,Urban
pop,1275248,5-9,6113824,Urban
case of NMSC in 2014,0,5-9,3.056912,Urban
pop,1352817,5-9,6753253,Urban
case of NMSC in 2015,0,5-9,4.0519518,Urban
pop,1851490,5-9,9047144,Urban
case of NMSC in 2016,4.073278,5-9,7.2377152,Urban
pop,2253504,5-9,10924785,Urban
case of NMSC in 2017,0.9014016,5-9,6.554871,Urban
pop,2408681,5-9,12070648,Urban
case of NMSC in 2018,1.9269448,5-9,6.035324,Urban
Incident of NMSC in 2005,0,10-14,0.05,Urban
Incident of NMSC in 2006,0,10-14,0.13,Urban
Incident of NMSC in 2007,0,10-14,0.14,Urban
Incident of NMSC in 2008,0.31,10-14,0.08,Urban
Incident of NMSC in 2009,0.26,10-14,0.11,Urban
Incident of NMSC in 2010,0,10-14,0.05,Urban
Incident of NMSC in 2011,0,10-14,0.12,Urban
Incident of NMSC in 2012,0.24,10-14,0,Urban
Incident of NMSC in 2013,0.11,10-14,0.12,Urban
Incident of NMSC in 2014,0,10-14,0.17,Urban
Incident of NMSC in 2015,0,10-14,0.15,Urban
Incident of NMSC in 2016,0.22,10-14,0.1,Urban
Incident of NMSC in 2017,0.04,10-14,0.13,Urban
Incident of NMSC in 2018,0.08,10-14,0.08,Urban
Incident of NMSC in 2018,0-,10-14,10-14,Urban
pop,196647,10-14,2118775,Urban
case of NMSC in 2005,0,10-14,1.0593875,Urban
pop,246212,10-14,2378075,Urban
case of NMSC in 2006,0,10-14,3.0914975,Urban
pop,256582,10-14,2115986,Urban
case of NMSC in 2007,0,10-14,2.9623804,Urban
pop,320424,10-14,2376365,Urban
case of NMSC in 2008,0.9933144,10-14,1.901092,Urban
pop,384131,10-14,2642449,Urban
case of NMSC in 2009,0.9987406,10-14,2.9066939,Urban
pop,595402,10-14,3860128,Urban
case of NMSC in 2010,0,10-14,1.930064,Urban
pop,688959,10-14,4058756,Urban
case of NMSC in 2011,0,10-14,4.8705072,Urban
pop,841767,10-14,4082043,Urban
case of NMSC in 2012,2.0202408,10-14,0,Urban
pop,923346,10-14,4298465,Urban
case of NMSC in 2013,1.0156806,10-14,5.158158,Urban
pop,1275248,10-14,5735117,Urban
case of NMSC in 2014,0,10-14,9.7496989,Urban
pop,1352817,10-14,6174671,Urban
case of NMSC in 2015,0,10-14,9.2620065,Urban
pop,1851490,10-14,8149691,Urban
case of NMSC in 2016,4.073278,10-14,8.149691,Urban
pop,2253504,10-14,9467325,Urban
case of NMSC in 2017,0.9014016,10-14,12.3075225,Urban
pop,2408681,10-14,10897060,Urban
case of NMSC in 2018,1.9269448,10-14,8.717648,Urban
Incident of NMSC in 2005,0,15-19,0.13,Urban
Incident of NMSC in 2006,0,15-19,0.21,Urban
Incident of NMSC in 2007,0,15-19,0.06,Urban
Incident of NMSC in 2008,0.31,15-19,0.33,Urban
Incident of NMSC in 2009,0.26,15-19,0.03,Urban
Incident of NMSC in 2010,0,15-19,0.09,Urban
Incident of NMSC in 2011,0,15-19,0.19,Urban
Incident of NMSC in 2012,0.24,15-19,0.09,Urban
Incident of NMSC in 2013,0.11,15-19,0.07,Urban
Incident of NMSC in 2014,0,15-19,0.13,Urban
Incident of NMSC in 2015,0,15-19,0.22,Urban
Incident of NMSC in 2016,0.22,15-19,0.12,Urban
Incident of NMSC in 2017,0.04,15-19,0.24,Urban
Incident of NMSC in 2018,0.08,15-19,0.16,Urban
Incident of NMSC in 2018,0-,15-19,15-19,Urban
pop,196647,15-19,3107960,Urban
case of NMSC in 2005,0,15-19,4.040348,Urban
pop,246212,15-19,3303648,Urban
case of NMSC in 2006,0,15-19,6.9376608,Urban
pop,256582,15-19,3116729,Urban
case of NMSC in 2007,0,15-19,1.8700374,Urban
pop,320424,15-19,3290178,Urban
case of NMSC in 2008,0.9933144,15-19,10.8575874,Urban
pop,384131,15-19,3526101,Urban
case of NMSC in 2009,0.9987406,15-19,1.0578303,Urban
pop,595402,15-19,4565411,Urban
case of NMSC in 2010,0,15-19,4.1088699,Urban
pop,688959,15-19,4822662,Urban
case of NMSC in 2011,0,15-19,9.1630578,Urban
pop,841767,15-19,5401778,Urban
case of NMSC in 2012,2.0202408,15-19,4.8616002,Urban
pop,923346,15-19,5806288,Urban
case of NMSC in 2013,1.0156806,15-19,4.0644016,Urban
pop,1275248,15-19,7421242,Urban
case of NMSC in 2014,0,15-19,9.6476146,Urban
pop,1352817,15-19,7672481,Urban
case of NMSC in 2015,0,15-19,16.8794582,Urban
pop,1851490,15-19,9641279,Urban
case of NMSC in 2016,4.073278,15-19,11.5695348,Urban
pop,2253504,15-19,10298582,Urban
case of NMSC in 2017,0.9014016,15-19,24.7165968,Urban
pop,2408681,15-19,11359200,Urban
case of NMSC in 2018,1.9269448,15-19,18.17472,Urban
Incident of NMSC in 2005,0,20-24,0.13,Urban
Incident of NMSC in 2006,0,20-24,0.12,Urban
Incident of NMSC in 2007,0,20-24,0.22,Urban
Incident of NMSC in 2008,0.31,20-24,0.21,Urban
